id,group,title,authors,venue,year,openalex_citations_2026_07_06,source_url,short_summary,research_relevance,priority
P11,Decision fairness,"AI generates covertly racist decisions about people based on their dialect","Valentin Hofmann; Pratyusha Kalluri; Dan Jurafsky; Sharese King","Nature",2024,179,https://doi.org/10.1038/s41586-024-07856-5,"Shows that dialect cues can trigger covertly racist model decisions even when overt stereotypes are less visible.","Important warning for migration work because accent, dialect, and non-native writing can act as proxy identity signals.",High
P12,Representation harms,"Large language models that replace human participants can harmfully misportray and flatten identity groups","Angelina Wang; Jamie Morgenstern; John P. Dickerson","Nature Machine Intelligence",2025,79,https://doi.org/10.1038/s42256-025-00986-z,"Studies how LLMs used as stand-ins for people can misrepresent and homogenize identity groups.","Relevant to any method that asks LLMs to simulate migrants, refugees, policymakers, or public opinion.",High
P13,Survey,"Bias and Fairness in Large Language Models: A Survey","Isabel O. Gallegos; Ryan A. Rossi; Joe Barrow; Md Mehrab Tanjim; Sungchul Kim; Franck Dernoncourt; Tong Yu; Ruiyi Zhang; Nesreen K. Ahmed","Computational Linguistics",2024,518,https://doi.org/10.1162/coli_a_00524,"Surveys bias types, evaluation settings, mitigation methods, and fairness concerns in LLMs.","Best starting overview for positioning your project and finding related benchmark families.",High
P14,Conceptual foundation,"On the Dangers of Stochastic Parrots","Emily M. Bender; Timnit Gebru; Angelina McMillan-Major; Shmargaret Shmitchell","ACM FAccT 2021",2021,5664,https://doi.org/10.1145/3442188.3445922,"A foundational critique of large language models, emphasizing scale, documentation, environmental costs, and representational harms.","Use for theoretical framing, especially around whose language and social realities are represented in training data.",Medium
P15,Nationality/migration,"Quite Good, but Not Enough: Nationality Bias in Large Language Models - a Case Study of ChatGPT","Shucheng Zhu; Weikang Wang; Ying Liu","LREC-COLING 2024",2024,4,https://doi.org/10.63317/2ptonpvxx2s2,"Evaluates nationality bias in ChatGPT across countries, prompt types, temperatures, and Chinese/English outputs.","Directly relevant to migration because nationality often functions as a proxy for migrant identity and deservingness.",High
P16,Culture/value/migration,"CIVICS: Building a Dataset for Examining Culturally-Informed Values in Large Language Models","Giada Pistilli; Alina Leidinger; Yacine Jernite; Atoosa Kasirzadeh; Alexandra Sasha Luccioni; Margaret Mitchell","AAAI/ACM AIES 2024",2024,4,https://doi.org/10.1609/aies.v7i1.31710,"Introduces a multilingual value-sensitive prompt dataset including immigration, welfare, LGBTQI rights, disability rights, and surrogacy.","Very relevant for studying immigration as a value-laden topic across languages and cultures.",High
P17,Migration decision,"PapersPlease: A Benchmark for Evaluating Motivational Values of Large Language Models Based on ERG Theory","Junho Myung; Yeongje Park; Sunwoo Kim; Shin Yoo; Alice Oh","arXiv",2025,0,https://doi.org/10.48550/arxiv.2506.21961,"Builds immigration-inspector moral dilemmas to test how LLMs prioritize human needs and respond to identity cues.","A direct benchmark model for migration decision scenarios and denial/approval bias.",High
P18,Migration decision,"Digital Gatekeepers: Exploring Large Language Model's Role in Immigration Decisions","Yicheng Mao; Yang Zhao","arXiv",2025,0,https://doi.org/10.48550/arxiv.2506.21574,"Studies LLMs in immigration decision support through choice experiments and interviews, reporting nationality-related stereotypes and privilege effects.","Directly aligned with migration, administrative fairness, and decision-making bias.",High
P19,Migration discourse,"Learning the Topic, Not the Language: How LLMs Classify Online Immigration Discourse Across Languages","Andrea Nasuto; Stefano M. Iacus; Francisco Rowe; Devika Jain","arXiv",2025,0,https://doi.org/10.48550/arxiv.2508.06435,"Fine-tunes LLMs to classify immigration discourse across languages and analyzes language coverage and pretraining bias.","Relevant if your IR group studies retrieval/classification of migration discourse or multilingual dataset construction.",Medium
P20,Language/culture bias,"A Perspectival Mirror of the Elephant: Investigating Language Bias on Google, ChatGPT, YouTube, and Wikipedia","Queenie Luo; Michael Puett; Michael D. Smith","arXiv",2023,5,https://doi.org/10.48550/arxiv.2303.16281,"Compares how major information systems reflect language and cultural perspectives, including English-centric framing.","Useful conceptual bridge between IR, search systems, LLMs, and multilingual migration narratives.",Medium
P21,Generation bias,"The Woman Worked as a Babysitter: On Biases in Language Generation","Emily Sheng; Kai-Wei Chang; Prem Natarajan; Nanyun Peng","EMNLP-IJCNLP 2019",2019,424,https://doi.org/10.18653/v1/D19-1339,"Early controlled-prompt study showing that neural generation varies by demographic group and can produce biased sentiment or regard.","Useful ancestor for open-ended migrant/refugee prompt continuation studies.",High
P22,Discourse/harm,"Social Bias Frames: Reasoning about Social and Power Implications of Language","Maarten Sap; Saadia Gabriel; Lianhui Qin; Dan Jurafsky; Noah A. Smith; Yejin Choi","ACL 2020",2020,16,https://doi.org/10.18653/v1/2020.acl-main.486,"Introduces a framework and dataset for explaining implied social bias, power dynamics, and harmful implications in text.","Good bridge from benchmark scores to interpretable explanations of anti-migrant or xenophobic language.",Medium
P23,Discourse/harm,"The Risk of Racial Bias in Hate Speech Detection","Maarten Sap; Dallas Card; Saadia Gabriel; Yejin Choi; Noah A. Smith","ACL 2019",2019,773,https://doi.org/10.18653/v1/P19-1163,"Shows that hate-speech detectors can over-associate African American English and identity markers with toxicity.","Important caution for migration discourse classifiers because identity dialects and group terms can become false toxicity signals.",High
P24,Discourse/harm,"ToxiGen: A Large-Scale Machine-Generated Dataset for Adversarial and Implicit Hate Speech Detection","Thomas Hartvigsen; Saadia Gabriel; Hamid Palangi; Maarten Sap; Dipankar Ray; Ece Kamar","ACL 2022 Long Papers",2022,5,https://doi.org/10.18653/v1/2022.acl-long.234,"Creates a dataset for implicit and adversarial hate speech toward minority groups using machine generation and human validation.","Useful for studying subtle anti-immigrant hate that may not use explicit slurs.",Medium
P25,Embedding-bias foundation,"Semantics derived automatically from language corpora contain human-like biases","Aylin Caliskan; Joanna J. Bryson; Arvind Narayanan","Science",2017,2813,https://doi.org/10.1126/science.aal4230,"Adapts implicit-association testing to word embeddings, showing that distributional semantics encode social stereotypes.","Foundational for understanding why stereotype tests often trace back to corpus co-occurrence patterns.",High
P26,Embedding-bias foundation,"Man is to Computer Programmer as Woman is to Homemaker? Debiasing Word Embeddings","Tolga Bolukbasi; Kai-Wei Chang; James Zou; Venkatesh Saligrama; Adam Tauman Kalai","NeurIPS 2016 / arXiv",2016,88,https://doi.org/10.48550/arxiv.1607.06520,"Classic paper on identifying and reducing gender directions in word embeddings.","Useful historical context for mitigation, but also a reminder that debiasing one axis may miss deeper representational structure.",Medium
P27,Embedding-bias foundation,"Lipstick on a Pig: Debiasing Methods Cover up Systematic Gender Biases in Word Embeddings But do not Remove Them","Hila Gonen; Yoav Goldberg","NAACL 2019",2019,146,https://doi.org/10.18653/v1/N19-1061,"Argues that common embedding debiasing methods hide rather than remove gendered structure.","Useful skepticism for migration-bias mitigation claims that only remove explicit identity terms.",High
P28,Benchmark ancestor,"Gender Bias in Coreference Resolution: Evaluation and Debiasing Methods","Jieyu Zhao; Tianlu Wang; Mark Yatskar; Vicente Ordonez; Kai-Wei Chang","NAACL-HLT 2018 Short Papers",2018,675,https://doi.org/10.18653/v1/N18-2003,"Introduces WinoBias-style evaluation for gender bias in coreference systems.","Good example of constructing controlled templates where stereotypes compete with linguistic evidence.",Medium
P29,Documentation/data practice,"Data Statements for Natural Language Processing: Toward Mitigating System Bias and Enabling Better Science","Emily M. Bender; Batya Friedman","Transactions of the ACL",2018,815,https://doi.org/10.1162/tacl_a_00041,"Proposes structured documentation of language datasets, including speaker, annotator, and language-variety information.","Very relevant for documenting migration datasets, especially language variety, geography, and speaker community.",High
P30,Documentation/data practice,"Datasheets for Datasets","Timnit Gebru; Jamie Morgenstern; Briana Vecchione; Jennifer Wortman Vaughan; Hanna Wallach; Hal Daume III; Kate Crawford","Communications of the ACM",2021,334,https://doi.org/10.1145/3458723,"Proposes dataset documentation to improve accountability, provenance, and responsible reuse.","Useful for building a migration benchmark that future users can audit and interpret.",High
P31,Documentation/model practice,"Model Cards for Model Reporting","Margaret Mitchell; Simone Wu; Andrew Zaldivar; Parker Barnes; Lucy Vasserman; Ben Hutchinson; Elena Spitzer; Inioluwa Deborah Raji; Timnit Gebru","ACM FAccT 2019",2019,1735,https://doi.org/10.1145/3287560.3287596,"Introduces structured reporting for model performance, intended use, limitations, and ethical considerations.","Useful template for reporting migration-bias audits across model versions and deployment settings.",High
P32,Evaluation framework,"Holistic Evaluation of Language Models","Percy Liang; Rishi Bommasani; Tong Lee; Dimitris Tsipras; Dilara Soylu; Michihiro Yasunaga; Yian Zhang; Deepak Narayanan; Yuhuai Wu; Ananya Kumar; Benjamin Newman; Binhang Yuan; Bobby Yan; Ce Zhang; Christian Cosgrove; Christopher Manning; Christopher Re; Diana Acosta-Navas; Drew Hudson; Eric Zelikman; Esin Durmus; Faisal Ladhak; Frieda Rong; Hong-Yu Ren; Huaxiu Yao; Jue Wang; Keshav Santhanam; Laurel Orr; Lucia Zheng; Mert Yuksekgonul; Mirac Suzgun; Nathan Kim; Neel Guha; Niladri Chatterji; Omar Khattab; Peter Henderson; Qian Huang; Ryan Chi; Sang Michael Xie; Shibani Santurkar; Surya Ganguli; Tatsunori Hashimoto; Thomas Icard; Tianyi Zhang; Vishrav Chaudhary; William Yang Wang; Xuechen Li; Yifan Mai; Yuhui Zhang; Yuta Koreeda","arXiv",2022,120,https://doi.org/10.48550/arxiv.2211.09110,"Introduces HELM, a broad evaluation framework for language models across scenarios and metrics including bias and toxicity.","Useful model for designing a multi-metric migration-bias evaluation rather than one benchmark score.",High
P33,Evaluation framework,"DecodingTrust: A Comprehensive Assessment of Trustworthiness in GPT Models","Boxin Wang; Weixin Chen; Hengzhi Pei; Chulin Xie; Mintong Kang; Chenhui Zhang; Chejian Xu; Zidi Xiong; Ritik Dutta; Rylan Schaeffer; Sang Truong; Simran Arora; Mantas Mazeika; Dan Hendrycks; Zinan Lin; Yu Cheng; Sanmi Koyejo; Dawn Song; Bo Li","arXiv",2023,61,https://doi.org/10.48550/arxiv.2306.11698,"Evaluates GPT models across trustworthiness dimensions including toxicity, stereotypes, robustness, privacy, and ethics.","Useful for thinking about bias as one part of a broader trust and risk evaluation suite.",Medium
P34,Evaluation framework,"Red Teaming Language Models to Reduce Harms: Methods, Scaling Behaviors, and Lessons Learned","Deep Ganguli; Liane Lovitt; Jackson Kernion; Amanda Askell; Yuntao Bai; Saurav Kadavath; Ben Mann; Ethan Perez; Nicholas Schiefer; Kamal Ndousse; Andy Jones; Sam Bowman; Anna Chen; Tom Conerly; Nova DasSarma; Dawn Drain; Nelson Elhage; Sheer El-Showk; Stanislav Fort; Zac Hatfield Dodds; Tom Henighan; Danny Hernandez; Tristan Hume; Josh Jacobson; Scott Johnston; Shauna Kravec; Catherine Olsson; Sam Ringer; Eli Tran-Johnson; Dario Amodei; Tom Brown; Nicholas Joseph; Sam McCandlish; Chris Olah; Jared Kaplan; Jack Clark","arXiv",2022,107,https://doi.org/10.48550/arxiv.2209.07858,"Studies red-teaming methods for surfacing harmful model behavior and scaling those methods.","Useful if you want adversarial prompts around border control, asylum, nationality, religion, or legal status.",Medium
P35,Opinion/value alignment,"Whose Opinions Do Language Models Reflect?","Shibani Santurkar; Esin Durmus; Faisal Ladhak; Cinoo Lee; Percy Liang; Tatsunori Hashimoto","arXiv",2023,99,https://doi.org/10.48550/arxiv.2303.17548,"Compares model responses to public-opinion distributions across demographic groups, showing whose views are poorly represented.","Useful for immigration because migration policy questions are value-laden and group opinions differ systematically.",High
P36,Multilingual/cultural bias,"Global Voices, Local Biases: Socio-Cultural Prejudices across Languages","Anjishnu Mukherjee; Chahat Raj; Ziwei Zhu; Antonios Anastasopoulos","arXiv",2023,0,https://doi.org/10.48550/arxiv.2310.17586,"Scales association-style bias evaluation across 24 languages with culturally situated bias dimensions.","Strong fit for migration work that should not assume English or Western stereotype dimensions.",High
P37,IR/fair ranking,"FA*IR: A Fair Top-k Ranking Algorithm","Meike Zehlike; Francesco Bonchi; Carlos Castillo; Sara Hajian; Mohamed Megahed; Ricardo Baeza-Yates","ACM CIKM 2017",2017,479,https://doi.org/10.1145/3132847.3132938,"Defines fairness constraints for top-k rankings so protected groups are not underrepresented in ranked prefixes.","Core IR fairness paper for thinking about exposure of migrant-related sources or communities in ranked results.",High
P38,IR/fair ranking,"Fairness of Exposure in Rankings","Ashudeep Singh; Thorsten Joachims","ACM KDD 2018",2018,569,https://doi.org/10.1145/3219819.3220088,"Formalizes exposure fairness in rankings and connects position bias with group opportunity.","Highly relevant for retrieval/reranking audits where source visibility is part of harm.",High
P39,IR/fair ranking,"Fairness in Ranking: A Survey","Meike Zehlike; Ke Yang; Julia Stoyanovich","arXiv",2021,30,https://doi.org/10.48550/arxiv.2103.14000,"Surveys fairness definitions, interventions, and evaluation strategies for ranking systems.","Good orientation paper for translating LLM-bias questions into IR ranking terminology.",High
P40,IR/auditing,"Auditing Search Engines for Differential Satisfaction Across Demographics","Rishabh Mehrotra; Ashton Anderson; Fernando Diaz; Amit Sharma; Hanna Wallach; Emine Yilmaz","arXiv",2017,0,https://doi.org/10.48550/arxiv.1705.10689,"Proposes an internal audit framework for measuring whether search engines underserve demographic groups.","Useful design pattern for auditing LLM-assisted search across migrant communities, languages, or information needs.",Medium
P41,HCI/auditing,"The Silicon Ceiling: Auditing GPT's Race and Gender Biases in Hiring","Lena Armstrong; Abbey Liu; Stephen MacNeil; Danae Metaxa","arXiv",2024,5,https://doi.org/10.48550/arxiv.2405.04412,"Audits GPT in hiring-related resume scoring and generation, finding race and gender biases and immigrant-marker effects.","Useful adjacent HCI/audit study because immigrant markers emerge even when the nominal task is hiring rather than migration.",Medium
P42,Social science foundation,"A model of often mixed stereotype content: Competence and warmth respectively follow from perceived status and competition","Susan T. Fiske; Amy J. C. Cuddy; Peter Glick; Jun Xu","Journal of Personality and Social Psychology",2002,6769,https://doi.org/10.1037/0022-3514.82.6.878,"Introduces the Stereotype Content Model, organizing group stereotypes around warmth and competence as functions of status and competition.","Very useful for operationalizing migrant stereotypes beyond positive/negative sentiment.",High
P43,Social science foundation,"The BIAS map: Behaviors from intergroup affect and stereotypes","Amy J. C. Cuddy; Susan T. Fiske; Peter Glick","Journal of Personality and Social Psychology",2007,1986,https://doi.org/10.1037/0022-3514.92.4.631,"Links warmth/competence stereotypes to emotional reactions and behavioral tendencies such as helping, neglect, or harm.","Useful bridge from stereotype representation to predicted treatment or decision behavior.",High
P44,Social science foundation,"Dehumanization: An Integrative Review","Nick Haslam","Personality and Social Psychology Review",2006,2838,https://doi.org/10.1207/s15327957pspr1003_4,"Reviews animalistic and mechanistic dehumanization and related psychological mechanisms.","Critical for migration discourse where people are framed as floods, invasions, burdens, or contaminants.",High
P45,Migration/social psychology,"Uncertainty, Threat, and the Role of the Media in Promoting the Dehumanization of Immigrants and Refugees","Victoria M. Esses; Stelian Medianu; Andrea Lawson","Journal of Social Issues",2013,613,https://doi.org/10.1111/josi.12027,"Connects uncertainty, threat, media framing, and dehumanization of immigrants and refugees.","Directly relevant to LLM-generated or retrieved migration narratives that amplify threat frames.",High
P46,Migration/social psychology,"Not an outgroup, not yet an ingroup: Immigrants in the Stereotype Content Model","Tiane L. Lee; Susan T. Fiske","International Journal of Intercultural Relations",2006,593,https://doi.org/10.1016/j.ijintrel.2006.06.005,"Applies the Stereotype Content Model to immigrant groups, showing differentiated stereotypes across immigrant subgroups.","Essential for avoiding a single generic migrant category in benchmark design.",High
P47,Migration/social psychology,"Intergroup Competition and Attitudes Toward Immigrants and Immigration: An Instrumental Model of Group Conflict","Victoria M. Esses; Lynne M. Jackson; Tamara L. Armstrong","Journal of Social Issues",1998,783,https://doi.org/10.1111/j.1540-4560.1998.tb01244.x,"Models anti-immigrant attitudes through perceived competition and group conflict.","Useful theoretical basis for threat, scarcity, jobs, welfare, and burden frames.",High
P48,Migration/public opinion,"Public Attitudes Toward Immigration","Jens Hainmueller; Daniel J. Hopkins","Annual Review of Political Science",2014,1660,https://doi.org/10.1146/annurev-polisci-102512-194818,"Reviews political-science evidence on immigration attitudes, including economic, cultural, and psychological explanations.","Best high-level social-science overview for migration attitudes.",High
P49,Migration/public opinion,"The Hidden American Immigration Consensus: A Conjoint Analysis of Attitudes toward Immigrants","Jens Hainmueller; Daniel J. Hopkins","American Journal of Political Science",2014,900,https://doi.org/10.1111/ajps.12138,"Uses conjoint experiments to estimate how immigrant attributes affect public preferences.","Very useful design inspiration for LLM decision audits that vary migrant attributes.",High
P50,Migration/public opinion,"What Triggers Public Opposition to Immigration? Anxiety, Group Cues, and Immigration Threat","Ted Brader; Nicholas A. Valentino; Elizabeth Suhay","American Journal of Political Science",2008,1309,https://doi.org/10.1111/j.1540-5907.2008.00353.x,"Shows how emotional anxiety, group cues, and threat information can increase opposition to immigration.","Useful for separating economic threat, cultural threat, and affective triggers in prompts.",High
P51,Migration/public opinion,"Predisposing Factors and Situational Triggers: Exclusionary Reactions to Immigrant Minorities","Paul M. Sniderman; Louk Hagendoorn; Markus Prior","American Political Science Review",2004,1258,https://doi.org/10.1017/S000305540400098X,"Studies how predispositions and situational cues interact to produce exclusionary reactions toward immigrant minorities.","Relevant for prompt experiments where context cues activate latent stereotypes.",High
P52,Migration/public opinion,"Politicized Places: Explaining Where and When Immigrants Provoke Local Opposition","Daniel J. Hopkins","American Political Science Review",2010,176,https://doi.org/10.1017/s0003055409990360,"Explains local opposition to immigration through the interaction of demographic change and politicized national rhetoric.","Important for thinking about locality and context rather than treating migration attitudes as universal.",Medium
P53,Media/framing,"Framing: Toward Clarification of a Fractured Paradigm","Robert M. Entman","Journal of Communication",1993,15545,https://doi.org/10.1111/j.1460-2466.1993.tb01304.x,"Classic definition of framing as selection and salience in communication.","Foundational for studying how LLMs select, emphasize, and summarize migration frames.",High
P54,Media/framing,"Framing as a Theory of Media Effects","Dietram A. Scheufele","Journal of Communication",1999,3252,https://doi.org/10.1111/j.1460-2466.1999.tb02784.x,"Clarifies framing processes and distinguishes media frames from audience effects.","Useful for connecting generated text, retrieved sources, and downstream attitude effects.",Medium
P55,Media/framing,"How news content influences anti-immigration attitudes: Germany, 1993-2005","Hajo G. Boomgaarden; Rens Vliegenthart","European Journal of Political Research",2009,372,https://doi.org/10.1111/j.1475-6765.2009.01831.x,"Empirically links news content to anti-immigration attitudes over time.","Useful precedent for studying how repeated LLM exposure to frames could shape perceptions.",High
P56,Media/framing,"The European media discourse on immigration and its effects: a literature review","Jakob-Moritz Eberl; Christine E. Meltzer; Tobias Heidenreich; Beatriz Herrero; Nora Theorin; Fabienne Lind; Rosa Berganza; Hajo G. Boomgaarden; Christian Schemer; Jesper Stromback","Annals of the International Communication Association",2018,572,https://doi.org/10.1080/23808985.2018.1497452,"Reviews European immigration media discourse and its effects on attitudes and politics.","Excellent bridge between migration communication studies and LLM/IR frame analysis.",High
P57,Migration/sociology,"Legal Violence: Immigration Law and the Lives of Central American Immigrants","Cecilia Menjivar; Leisy J. Abrego","American Journal of Sociology",2012,1178,https://doi.org/10.1086/663575,"Develops the concept of legal violence to describe harmful effects of immigration law on everyday life.","Important for avoiding a narrow legal/administrative framing of migrant status.",High
P58,Migration/anthropology,"Migrant 'Illegality' and Deportability in Everyday Life","Nicholas De Genova","Annual Review of Anthropology",2002,3382,https://doi.org/10.1146/annurev.anthro.31.040402.085432,"Analyzes migrant illegality as socially and legally produced, with deportability shaping everyday life.","Essential for treating 'illegal immigrant' as a political/legal construction, not a neutral descriptor.",High
P59,Social science foundation,"Race Prejudice as a Sense of Group Position","Herbert Blumer","The Pacific Sociological Review",1958,3442,https://doi.org/10.2307/1388607,"Classic group-position theory of prejudice, emphasizing dominant-group claims over status and entitlement.","Useful for linking anti-migrant sentiment to perceived hierarchy, entitlement, and boundary maintenance.",High
